STATEFP,CD115FP,AFFGEOID,GEOID,LSAD,CDSESSN,ALAND,AWATER,Perimeter
13,01,5001500US1301,1301,C2,115,20880536010,2248892004,1144842.29079000000
05,03,5001500US0503,0503,C2,115,13982291978,376049391,1135947.66474000000
37,11,5001500US3711,3711,C2,115,17106161233,191420305,981204.16464900000
06,42,5001500US0642,0642,C2,115,2423945955,44654905,517473.03195700000
12,07,5001500US1207,1207,C2,115,1017701317,110468531,192600.83997300000
48,34,5001500US4834,4834,C2,115,21214143666,3364091631,2178140.16670000000
51,02,5001500US5102,5102,C2,115,2858942639,5175186818,834211.89276700000
25,03,5001500US2503,2503,C2,115,1962144439,76251014,330653.08235000000
53,05,5001500US5305,5305,C2,115,40075952621,599022241,1137063.42706000000
48,15,5001500US4815,4815,C2,115,20212412244,154866287,1433004.11691000000
21,05,5001500US2105,2105,C2,115,29095574619,312844902,1208242.30096000000
51,11,5001500US5111,5111,C2,115,479602706,21188539,253022.79083800000
20,01,5001500US2001,2001,C2,115,136082693184,595682427,1995653.90315000000
51,10,5001500US5110,5110,C2,115,3551510219,37716508,581208.55510100000
06,01,5001500US0601,0601,C2,115,72746743500,1948066328,1778802.35918000000
53,04,5001500US5304,5304,C2,115,49847973873,808275992,1616650.98714000000
51,09,5001500US5109,5109,C2,115,23608121431,153964570,1226941.29465000000
53,08,5001500US5308,5308,C2,115,19061011206,370370438,1119181.80073000000
12,19,5001500US1219,1219,C2,115,1942414991,1598133107,482044.25672800000
37,05,5001500US3705,3705,C2,115,10279841771,80945652,620977.97402900000
48,23,5001500US4823,4823,C2,115,150370085797,449322589,2951009.51284000000
42,08,5001500US4208,4208,C2,115,1831137408,49166866,252967.32925600000
42,05,5001500US4205,4205,C2,115,27742397029,213620579,1134492.51712000000
36,06,5001500US3606,3606,C2,115,77166992,711425,52060.24913270000
06,49,5001500US0649,0649,C2,115,1433399632,511517467,345902.91822400000
06,17,5001500US0617,0617,C2,115,480150143,21997291,159248.35207500000
06,10,5001500US0610,0610,C2,115,4714677851,54185569,427156.41972800000
34,08,5001500US3408,3408,C2,115,141627875,37950202,144677.63701800000
12,25,5001500US1225,1225,C2,115,9079118653,445389220,573461.94413400000
48,07,5001500US4807,4807,C2,115,419749088,3106191,194362.77438200000
48,35,5001500US4835,4835,C2,115,1537949609,19480034,591265.49242400000
29,03,5001500US2903,2903,C2,115,17745385735,368183517,988408.78382200000
60,98,5001500US6098,6098,C4,115,197759070,1307243753,213921.46065600000
04,03,5001500US0403,0403,C2,115,40632659377,8411270,1381908.79491000000
48,03,5001500US4803,4803,C2,115,1245254103,98149448,206705.18024000000
27,03,5001500US2703,2703,C2,115,1364907543,145011977,259521.79522400000
51,05,5001500US5105,5105,C2,115,25979420541,392124628,1441426.76519000000
48,05,5001500US4805,4805,C2,115,13064428801,494044925,1096393.95114000000
45,01,5001500US4501,4501,C2,115,4008869914,2197476605,949779.89043700000
36,20,5001500US3620,3620,C2,115,3189351632,81971753,343326.76473300000
39,15,5001500US3915,3915,C2,115,12273509822,99729167,1017978.94488000000
09,04,5001500US0904,0904,C2,115,1193579517,214382753,259551.82329100000
48,24,5001500US4824,4824,C2,115,680637799,23080473,201939.79614800000
18,03,5001500US1803,1803,C2,115,10826747936,135332323,524850.34441300000
06,18,5001500US0618,0618,C2,115,1802931104,329756821,310011.15255500000
31,01,5001500US3101,3101,C2,115,22996551823,249258050,936543.01411800000
04,06,5001500US0406,0406,C2,115,1618774967,11033169,252324.15075200000
08,05,5001500US0805,0805,C2,115,18818296057,61236312,755030.57916100000
48,09,5001500US4809,4809,C2,115,429074143,5285227,184429.63360400000
45,06,5001500US4506,4506,C2,115,20885955098,860176774,1757433.59128000000
29,08,5001500US2908,2908,C2,115,51543631130,444560710,1332915.20962000000
12,02,5001500US1202,1202,C2,115,28499495272,4837033100,1834193.71522000000
25,09,5001500US2509,2509,C2,115,3149602733,5148720788,947136.27192100000
26,02,5001500US2602,2602,C2,115,8540026707,7429788536,571450.94677500000
47,01,5001500US4701,4701,C2,115,10727532484,207535869,752465.29555600000
17,04,5001500US1704,1704,C2,115,135768215,966146,174335.53025900000
06,25,5001500US0625,0625,C2,115,4378778073,30920024,493655.78494900000
06,53,5001500US0653,0653,C2,115,351481125,6103481,164536.78458500000
34,09,5001500US3409,3409,C2,115,246845399,19505879,137892.91538100000
12,09,5001500US1209,1209,C2,115,5987921341,798384093,429262.08306400000
48,08,5001500US4808,4808,C2,115,15682333345,410601498,892424.52809200000
04,08,5001500US0408,0408,C2,115,1398089166,4081290,294988.39314700000
24,07,5001500US2407,2407,C2,115,1264538611,14744815,416947.87944400000
33,02,5001500US3302,3302,C2,115,16804439450,401958887,1171655.58161000000
30,00,5001500US3000,3000,C1,115,376960880222,3871059371,3060539.54591000000
51,06,5001500US5106,5106,C2,115,15354741800,106015128,1069667.67674000000
06,24,5001500US0624,0624,C2,115,17832881475,3683678861,1079919.29424000000
06,45,5001500US0645,0645,C2,115,855911615,5327953,180841.34219700000
04,07,5001500US0407,0407,C2,115,530597502,1640754,124952.91307400000
35,03,5001500US3503,3503,C2,115,116455539384,306910807,1948961.07910000000
29,01,5001500US2901,2901,C2,115,583315316,27454150,167121.57272700000
29,04,5001500US2904,2904,C2,115,37311486202,744930706,1435997.72949000000
29,02,5001500US2902,2902,C2,115,1206418804,37435850,276237.17829700000
40,05,5001500US4005,4005,C2,115,5371380241,59056725,507109.59673300000
24,01,5001500US2401,2401,C2,115,10300763780,4036018809,1794729.92739000000
24,08,5001500US2408,2408,C2,115,2226202153,24107309,572912.64098600000
39,03,5001500US3903,3903,C2,115,590635256,11354623,358604.45426100000
39,09,5001500US3909,3909,C2,115,1203543249,4312119580,642268.15655500000
33,01,5001500US3301,3301,C2,115,6383006002,626684268,688014.39260400000
55,03,5001500US5503,5503,C2,115,28779826013,826216165,1496384.90543000000
55,07,5001500US5507,5507,C2,115,59671136452,7701851011,2033940.76642000000
55,08,5001500US5508,5508,C2,115,17629401229,8180916398,1241247.88335000000
66,98,5001500US6698,6698,C4,115,543558310,934334983,156795.49316400000
78,98,5001500US7898,7898,C4,115,348013711,1550244357,322723.37118500000
44,01,5001500US4401,4401,C2,115,695729218,628637485,391611.71561000000
38,00,5001500US3800,3800,C1,115,178710423375,4400396641,2046805.43431000000
39,10,5001500US3910,3910,C2,115,2926661524,14777588,301293.37447400000
56,00,5001500US5600,5600,C1,115,251465641446,1860628076,2018571.21064000000
53,06,5001500US5306,5306,C2,115,17876929516,5100644174,1416747.33138000000
06,29,5001500US0629,0629,C2,115,238354211,1621911,116876.44031400000
20,03,5001500US2003,2003,C2,115,1961376350,33268793,238445.46495700000
42,10,5001500US4210,4210,C2,115,21697859390,299061742,1370821.56683000000
69,98,5001500US6998,6998,C4,115,472284356,4644260632,353948.81420700000
26,13,5001500US2613,2613,C2,115,478823763,5422500,182235.09940500000
40,02,5001500US4002,4002,C2,115,54380778941,1949953912,1643619.15686000000
23,02,5001500US2302,2302,C2,115,71374167567,7014040632,2985314.11195000000
32,03,5001500US3203,3203,C2,115,7378700262,102756400,474503.69484400000
01,07,5001500US0107,0107,C2,115,26301697324,332922212,1585777.32225000000
51,08,5001500US5108,5108,C2,115,386568076,29341577,135985.10856200000
32,04,5001500US3204,3204,C2,115,132082704605,628524273,1797343.11065000000
12,17,5001500US1217,1217,C2,115,14434123174,1921259405,712123.03317700000
51,07,5001500US5107,5107,C2,115,8075204112,145041508,715837.77031900000
25,08,5001500US2508,2508,C2,115,845278194,447520003,357354.35721900000
53,02,5001500US5302,5302,C2,115,2629866121,2684013091,1299765.71999000000
06,07,5001500US0607,0607,C2,115,1421299398,13607918,199623.56354900000
06,28,5001500US0628,0628,C2,115,565785716,2413830,198477.49278500000
36,25,5001500US3625,3625,C2,115,1321389767,1831700038,176996.83209400000
37,13,5001500US3713,3713,C2,115,4744708509,107294557,512175.34759800000
48,20,5001500US4820,4820,C2,115,517220115,1459381,188384.56545100000
35,02,5001500US3502,3502,C2,115,185819783587,409896310,2407408.57445000000
48,13,5001500US4813,4813,C2,115,99324834105,766086802,2172728.72763000000
06,02,5001500US0602,0602,C2,115,33546450051,4122300212,1661265.21187000000
27,02,5001500US2702,2702,C2,115,6314196469,243534838,495764.53328800000
48,17,5001500US4817,4817,C2,115,19814872130,309535606,1114392.32277000000
31,03,5001500US3103,3103,C2,115,174641284006,1077690968,2353281.81886000000
72,98,5001500US7298,7298,C3,115,8868734851,4922543816,739188.38695900000
